CycleDate,lastname,firstname,link,id,CycleName,electionlink,OfficeTitle,NumReports
11/04/2008,Aaronson,Burt,CFCandidateElections.aspx?cand_id=69,69,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=135&cand_id=69,"County Commissioner, Dist. 5",11
11/02/2010,Abrams,Steven,CFCandidateElections.aspx?cand_id=550,550,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=141&cand_id=550,"County Commissioner, Dist. 4",6
11/04/2014,Abrams,Steven,CFCandidateElections.aspx?cand_id=550,550,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=141&cand_id=550,"County Commissioner, Dist. 4",23
11/02/2010,Abrams,William,CFCandidateElections.aspx?cand_id=1787,1787,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=150&cand_id=1787,"School Board, Dist. 7",4
11/02/2010,Adams,John,CFCandidateElections.aspx?cand_id=1797,1797,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=146&cand_id=1797,"School Board, Dist. 3",7
11/06/2012,Amero,Daniel,CFCandidateElections.aspx?cand_id=1001,1001,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=136&cand_id=1001,"County Commissioner, Dist. 1",10
11/04/2008,Anderson,Arthur,CFCandidateElections.aspx?cand_id=62,62,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=134&cand_id=62,Supervisor of Elections,7
11/06/2012,Anderson,Joseph,CFCandidateElections.aspx?cand_id=2100,2100,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=213&cand_id=2100,Port of Palm Beach Group 1,6
11/08/2016,Anderson,Joseph,CFCandidateElections.aspx?cand_id=2100,2100,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=214&cand_id=2100,Port of Palm Beach Group 2,1
11/04/2014,Anderson,Rubin,CFCandidateElections.aspx?cand_id=2341,2341,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=8&cand_id=2341,Governor,0
11/08/2016,Anderson,Rubin,CFCandidateElections.aspx?cand_id=2341,2341,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=139&cand_id=2341,"County Commissioner, Dist. 7",8
11/02/2010,Andrews,Marcia,CFCandidateElections.aspx?cand_id=1663,1663,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=149&cand_id=1663,"School Board, Dist. 6",20
11/04/2014,Andrews,Marcia,CFCandidateElections.aspx?cand_id=1663,1663,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=149&cand_id=1663,"School Board, Dist. 6",27
11/04/2014,Argue,Betty,CFCandidateElections.aspx?cand_id=2495,2495,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=242&cand_id=2495,Indian Trail Improvement District Seat 5,20
11/06/2012,Bailey,Rosetta,CFCandidateElections.aspx?cand_id=2005,2005,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=148&cand_id=2005,"School Board, Dist. 5",5
11/02/2010,Bair,Ralph,CFCandidateElections.aspx?cand_id=790,790,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=240&cand_id=790,Indian Trail Improvement District Seat 3,9
11/04/2014,Bair,Ralph,CFCandidateElections.aspx?cand_id=790,790,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=240&cand_id=790,Indian Trail Improvement District Seat 3,16
11/04/2014,Ballweg,Alan,CFCandidateElections.aspx?cand_id=2497,2497,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=240&cand_id=2497,Indian Trail Improvement District Seat 3,19
11/02/2010,Bantel,Charles,CFCandidateElections.aspx?cand_id=1023,1023,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=216&cand_id=1023,Port of Palm Beach Group 4,4
11/04/2008,Bantel,Charles,CFCandidateElections.aspx?cand_id=1023,1023,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=214&cand_id=1023,"Port of Palm Beach, Grp. 2",0
11/06/2012,Bantel,Charles,CFCandidateElections.aspx?cand_id=1023,1023,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=28&cand_id=1023,"State Representative, Dist. 88",0
11/04/2008,Barbieri,Frank,CFCandidateElections.aspx?cand_id=1066,1066,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=148&cand_id=1066,"School Board, Dist. 5",15
11/06/2012,Barbieri,Frank,CFCandidateElections.aspx?cand_id=1066,1066,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=148&cand_id=1066,"School Board, Dist. 5",6
11/04/2008,Beasley,Charlotte,CFCandidateElections.aspx?cand_id=1053,1053,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=135&cand_id=1053,"County Commissioner, Dist. 5",17
11/06/2012,Beer,Kenneth,CFCandidateElections.aspx?cand_id=2138,2138,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=144&cand_id=2138,"School Board, Dist. 1",1
11/04/2008,Benaim,Monroe,CFCandidateElections.aspx?cand_id=180,180,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=144&cand_id=180,"School Board, Dist. 1",5
11/06/2012,Berger,Mary Louise,CFCandidateElections.aspx?cand_id=1970,1970,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=135&cand_id=1970,"County Commissioner, Dist. 5",19
11/08/2016,Berger,Mary Louise,CFCandidateElections.aspx?cand_id=1970,1970,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=135&cand_id=1970,"County Commissioner, Dist. 5",2
11/02/2010,Bernard,Mackenson,CFCandidateElections.aspx?cand_id=1598,1598,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=26&cand_id=1598,"State Representative, Dist. 84",0
11/06/2012,Bernard,Mackenson,CFCandidateElections.aspx?cand_id=1598,1598,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=18&cand_id=1598,"State Senator, Dist. 27",0
11/08/2016,Bernard,Mackenson,CFCandidateElections.aspx?cand_id=1598,1598,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=139&cand_id=1598,"County Commissioner, Dist. 7",7
11/06/2012,Bittenbinder,Robert,CFCandidateElections.aspx?cand_id=2156,2156,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=144&cand_id=2156,"School Board, Dist. 1",5
11/06/2012,Black,George,CFCandidateElections.aspx?cand_id=2127,2127,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=213&cand_id=2127,Port of Palm Beach Group 1,24
11/04/2008,Bock,Sharon,CFCandidateElections.aspx?cand_id=68,68,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=128&cand_id=68,Clerk of the Circuit Court,6
11/06/2012,Bock,Sharon,CFCandidateElections.aspx?cand_id=68,68,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=128&cand_id=68,Clerk of the Circuit Court,6
11/02/2010,Bonavita,August,CFCandidateElections.aspx?cand_id=1579,1579,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=212&cand_id=1579,"County Court Judge, Grp. 17",2
11/06/2012,Booras,Theodore,CFCandidateElections.aspx?cand_id=782,782,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=197&cand_id=782,"County Court Judge, Grp. 2",1
11/06/2012,Bosso-Pardo,Sandra,CFCandidateElections.aspx?cand_id=271,271,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=196&cand_id=271,"County Court Judge, Grp. 1",1
11/04/2014,Bradley,David,CFCandidateElections.aspx?cand_id=2368,2368,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=240&cand_id=2368,Indian Trail Improvement District Seat 3,12
11/04/2008,Bradshaw,Ric,CFCandidateElections.aspx?cand_id=63,63,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=129&cand_id=63,Sheriff,11
11/06/2012,Bradshaw,Ric,CFCandidateElections.aspx?cand_id=63,63,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=129&cand_id=63,Sheriff,10
11/08/2016,Bradshaw,Ric,CFCandidateElections.aspx?cand_id=63,63,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=129&cand_id=63,Sheriff,7
11/02/2010,Brandenburg,Mary,CFCandidateElections.aspx?cand_id=110,110,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=140&cand_id=110,"County Commissioner, Dist. 2",6
11/04/2008,Brandenburg,Mary,CFCandidateElections.aspx?cand_id=110,110,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=23&cand_id=110,"State Representative, Dist. 89",0
11/04/2008,Brecker,Barbara,CFCandidateElections.aspx?cand_id=1275,1275,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=241&cand_id=1275,Indian Trail Improvement District Seat 4,5
11/02/2010,Brill,Karen,CFCandidateElections.aspx?cand_id=1734,1734,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=146&cand_id=1734,"School Board, Dist. 3",16
11/04/2014,Brill,Karen,CFCandidateElections.aspx?cand_id=1734,1734,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=146&cand_id=1734,"School Board, Dist. 3",18
11/02/2010,Brown,Jennifer,CFCandidateElections.aspx?cand_id=1743,1743,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=147&cand_id=1743,"School Board, Dist. 4",11
11/02/2010,Bryson,Marni,CFCandidateElections.aspx?cand_id=1664,1664,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=202&cand_id=1664,"County Court Judge, Grp. 7",14
11/04/2008,Bucher,Susan,CFCandidateElections.aspx?cand_id=222,222,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=134&cand_id=222,Supervisor of Elections,13
11/06/2012,Bucher,Susan,CFCandidateElections.aspx?cand_id=222,222,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=134&cand_id=222,Supervisor of Elections,7
11/02/2010,Burdick,Paulette,CFCandidateElections.aspx?cand_id=290,290,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=140&cand_id=290,"County Commissioner, Dist. 2",17
11/04/2008,Burdick,Paulette,CFCandidateElections.aspx?cand_id=290,290,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=145&cand_id=290,"School Board, Dist. 2",2
11/04/2014,Burdick,Paulette,CFCandidateElections.aspx?cand_id=290,290,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=140&cand_id=290,"County Commissioner, Dist. 2",12
11/02/2010,Butler,Brian,CFCandidateElections.aspx?cand_id=1686,1686,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=219&cand_id=1686,Jupiter Inlet Commission District 2,5
11/06/2012,Butler,Brian,CFCandidateElections.aspx?cand_id=1686,1686,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=226&cand_id=1686,Palm Beach Soil & Water Conservation Group 4,0
11/04/2008,Carmel,Melissa,CFCandidateElections.aspx?cand_id=1271,1271,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=133&cand_id=1271,Property Appraiser,1
11/06/2012,Carney,Peter,CFCandidateElections.aspx?cand_id=809,809,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=132&cand_id=809,Tax Collector,8
11/02/2010,Carroll,John,CFCandidateElections.aspx?cand_id=811,811,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=138&cand_id=811,"County Commissioner, Dist. 6",9
11/06/2012,Castor,Frank,CFCandidateElections.aspx?cand_id=820,820,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=389&cand_id=820,"County Court Judge, Grp. 19",1
11/02/2010,Ciklin,Blair,CFCandidateElections.aspx?cand_id=298,298,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=216&cand_id=298,Port of Palm Beach Group 4,10
11/04/2014,Ciklin,Blair,CFCandidateElections.aspx?cand_id=298,298,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=216&cand_id=298,Port of Palm Beach Group 4,12
11/02/2010,Cohen,Laurie,CFCandidateElections.aspx?cand_id=433,433,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=202&cand_id=433,"County Court Judge, Grp. 7",9
11/06/2012,Cohen,Laurie,CFCandidateElections.aspx?cand_id=433,433,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=201&cand_id=433,"County Court Judge, Grp. 6",0
11/06/2012,Cohen,John,CFCandidateElections.aspx?cand_id=1909,1909,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=639&cand_id=1909,Northern Improvement District Seat #4,4
11/04/2008,Cohn,L. Marc,CFCandidateElections.aspx?cand_id=1253,1253,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=455&cand_id=1253,Northern Palm Beach County Improvement District Seat 5,14
11/04/2014,Cohn,L. Marc,CFCandidateElections.aspx?cand_id=1253,1253,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=641&cand_id=1253,Northern Improvement District Seat #3,0
11/06/2012,Coleman,Kevin,CFCandidateElections.aspx?cand_id=2133,2133,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=129&cand_id=2133,Sheriff,4
11/02/2010,Comiter,Lloyd,CFCandidateElections.aspx?cand_id=1681,1681,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=202&cand_id=1681,"County Court Judge, Grp. 7",10
11/04/2008,Corlew,Reginald,CFCandidateElections.aspx?cand_id=795,795,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=198&cand_id=795,"County Court Judge, Grp. 3",12
11/04/2014,Corlew,Reginald,CFCandidateElections.aspx?cand_id=795,795,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=198&cand_id=795,"County Court Judge, Grp. 3",3
11/02/2010,Cunningham,Sheree,CFCandidateElections.aspx?cand_id=286,286,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=211&cand_id=286,"County Court Judge, Grp. 16",1
11/04/2008,Curry,Patricia,CFCandidateElections.aspx?cand_id=1266,1266,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=241&cand_id=1266,Indian Trail Improvement District Seat 4,4
11/02/2010,Damico,Paul,CFCandidateElections.aspx?cand_id=279,279,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=204&cand_id=279,"County Court Judge, Grp. 9",3
11/04/2008,Damone,Michelle,CFCandidateElections.aspx?cand_id=323,323,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=241&cand_id=323,Indian Trail Improvement District Seat 4,6
11/06/2012,Damone,Michelle,CFCandidateElections.aspx?cand_id=323,323,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=241&cand_id=323,Indian Trail Improvement District Seat 4,9
11/08/2016,Delgado,Luis,CFCandidateElections.aspx?cand_id=2619,2619,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=210&cand_id=2619,"County Court Judge, Grp. 15",4
11/02/2010,Diamond,Jason,CFCandidateElections.aspx?cand_id=1748,1748,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=212&cand_id=1748,"County Court Judge, Grp. 17",1
11/02/2010,Dickey,Karl,CFCandidateElections.aspx?cand_id=891,891,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=141&cand_id=891,"County Commissioner, Dist. 4",12
11/04/2008,Dickey,Karl,CFCandidateElections.aspx?cand_id=891,891,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=232&cand_id=891,"Greater Boca Raton Beach & Park District, Seat 5",9
11/04/2014,Dickey,Karl,CFCandidateElections.aspx?cand_id=891,891,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=227&cand_id=891,Palm Beach Soil & Water Conservation Group 5,22
11/04/2014,Donaldson,Carla,CFCandidateElections.aspx?cand_id=2386,2386,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=149&cand_id=2386,"School Board, Dist. 6",12
11/02/2010,Dowling,Jean,CFCandidateElections.aspx?cand_id=1747,1747,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=145&cand_id=1747,"School Board, Dist. 2",6
11/04/2008,Drautz,Marc,CFCandidateElections.aspx?cand_id=995,995,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=148&cand_id=995,"School Board, Dist. 5",10
11/06/2012,Dunkley,Gary,CFCandidateElections.aspx?cand_id=839,839,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=239&cand_id=839,Indian Trail Improvement District Seat 2,10
11/02/2010,Eissey,Mark,CFCandidateElections.aspx?cand_id=278,278,2010 Election Cycle,CFElectionFilings.aspx?elect_id=98&office_id=203&cand_id=278,"County Court Judge, Grp. 8",1
11/06/2012,Engel,Steven,CFCandidateElections.aspx?cand_id=2124,2124,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=232&cand_id=2124,Greater Boca Raton Beach & Park District Seat 5 (Outside City/ Within District),2
11/04/2008,Enright,Jean,CFCandidateElections.aspx?cand_id=297,297,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=215&cand_id=297,"Port of Palm Beach, Grp. 3",2
11/04/2014,Enright,Jean,CFCandidateElections.aspx?cand_id=297,297,2014 Election Cycle,CFElectionFilings.aspx?elect_id=123&office_id=750&cand_id=297,"U.S. Representative, Dist. 20",0
11/06/2012,Enright,Jean,CFCandidateElections.aspx?cand_id=297,297,2012 Election Cycle,CFElectionFilings.aspx?elect_id=118&office_id=215&cand_id=297,Port of Palm Beach Group 3,12
11/08/2016,Enright,Jean,CFCandidateElections.aspx?cand_id=297,297,2016 Election Cycle,CFElectionFilings.aspx?elect_id=140&office_id=215&cand_id=297,Port of Palm Beach Group 3,0
11/04/2008,Enriquez,Carlos,CFCandidateElections.aspx?cand_id=813,813,2008 Election Cycle,CFElectionFilings.aspx?elect_id=75&office_id=239&cand_id=813,Indian Trail Improvement District Seat 2,9
